AFF_LOVE_POINT	Point d'amour : %d%%
SELECT_NOT_JOIN_GUILD	Aucune guilde
SHOP_BUY_INFO	Achetez un objet en le choisissant dans la fenêtre d'une échoppe.
SHOP_CANNOT_SELL_EQUIPMENT	Vous ne pouvez pas vendre d'objet équipé.
SHOP_CANNOT_SELL_ITEM	Cet objet ne peut pas être vendu.
SHOP_ERROR_UNKNOWN	Erreur de Magasin inconnue : %s
SHOP_INVALID_POS	Cet objet ne peut pas être utilisé.
SHOP_INVENTORY_FULL	Il n'y a pas assez de place dans l'inventaire.
SHOP_NOT_ENOUGH_MONEY	Pas assez de Yangs.
SHOP_NOT_ENOUGH_MONEY_EX	Vous n'avez pas suffisamment de Yangs.
SHOP_SELL_INFO	Sélectionnez l'objet à vendre dans la fenêtre d'inventaire.
SHOP_SOLDOUT	Epuisé.
SHOT_ERROR_UNKNOWN	Erreur inconnue lors de l'attaque à distance : %s
SKILL_BOHO	Détourné
SKILL_BUDONG	n'est plus utilisé.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Vous avez besoin d'EXP pour apprendre cette compétence.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Vous avez besoin d'un Manuel pour apprendre cette compétence.
SKILL_CHEONGEUN	Corps puissant
SKILL_CRITICAL	Coup critique
SKILL_ENCHANT_POISON	Poison appliqué.
SKILL_EUNHYEONG	Camouflage
SKILL_FAINT	Étourdissement
SKILL_FIND_TRAP	Chercher les pièges
SKILL_FIRE	Feu permanent
SKILL_FISHMIND	Boule piscicomancienne active
SKILL_GAMJI	Capturer
SKILL_GEOMGYEONG	Aura de l'épée
SKILL_GEONGON	Plus utilisé.
SKILL_GICHEON	Griffe du Dragon
SKILL_GIGONG	Rotation du Chi
SKILL_GONGPO	Peur
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Maître
SKILL_GRADE_NAME_MASTER	%s Maître
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maître parfait
SKILL_GROUP_ASSASSIN_1	Lame
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Equitation
SKILL_GROUP_SHAMAN_1	Dragon
SKILL_GROUP_SHAMAN_2	Soin
SKILL_GROUP_SURA_1	Arme
SKILL_GROUP_SURA_2	Magique
SKILL_GROUP_WARRIOR_1	Corps
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Lame enchantée
SKILL_GYEONGGONG	Pas de plume
SKILL_HEUKSIN	Protection des ténèbres
SKILL_HOSIN	Bénédiction
SKILL_HWAYEOM	SKILL_HWAYEON Plus utilisé.
SKILL_HYEOLMA	SKILL_HYEOLMA plus utilisé.
SKILL_INC_ATKSPD	Vitesse d'attaque augmentée
SKILL_INC_MOVSPD	Vitesse de déplacement augmentée
SKILL_INMA	SKILL_INMA Plus utilisé.
SKILL_JEOJU	Malédiction
SKILL_JEONGEOP	Soin
SKILL_JEONGWI	Fureur
SKILL_JEONSINBANGEO	Défense totale
SKILL_JEONSINGONGGYEOK	Attaque totale
SKILL_JEUNGCHE	SKILL_JEUNGCHE Plus utilisé.
SKILL_JEUNGHON	SKILL_JEUNGHON Plus utilisé.
SKILL_JEUNGRYEOK	Attaque +
SKILL_JEUNGSOK	Vitesse +
SKILL_JIGAM	SKILL_JIGAM Plus utilisé.
SKILL_JIPJUNG	SKILL_JIPJUNG Plus utilisé.
SKILL_JUMAGAP	Armure enchantée
SKILL_JUMAGEOM	SKILL_JUMAGEOM Plus utilisé.
SKILL_KWAEGEOM	SKILL_KWAEGEOM Plus utilisé.
SKILL_KWAESOK	Vitesse
SKILL_LEGBOUND	SKILL_LEGBOUND Plus utilisé.
SKILL_MUSA	SKILL_MUSA Plus utilisé.
SKILL_MUYEONG	Fantôme de la Flamme
SKILL_NEED_EMPTY_BOTTLE	Je n'ai pas de bouteille vide.
SKILL_NEED_POISON_BOTTLE	Je n'ai pas de bouteille vide
SKILL_ONLY_FOR_GUILD_WAR	Vous ne pouvez utiliser cette compétence que durant une guerre de Guildes
SKILL_PABEOP	Neutraliser un sort
SKILL_POWERFUL_STRIKE	Attaque stupeur
SKILL_SEOMGWANG	Bombe de lumière
SKILL_SINCHAK	SKILL_SINCHAK Plus utilisé.
SKILL_SLEEP	Dormir
SKILL_SLOW	Ralentissement
SKILL_STUN	Stupeur
SKILL_SUHO	Garde
SKILL_SUMMON_DESCRIPTION	Chance d'Invocation: %d%%
SKILL_TOOLTIP_INT	Intelligence
SKILL_TOOLTIP_LEVEL	Niveau
SKILL_TOXICDIE	Empoisonnement
SKILL_TOXICPOWER	Valeur d'attaque empoisonnée améliorée
SKILL_TUSOK	Attaque fantôme
SKILL_WONSIN	SKILL_WONSIN Plus utilisé.
SKILL_YONGSIN	SKILL_YONGSIN Plus utilisé.
STAT_MINUS_CON	Adaptation de la vitalité (chance restante : %d)
STAT_MINUS_DEX	Adaptation de la dextérité (chance restante : %d)
STAT_MINUS_INT	Adaptation de l'intelligence (chance restante : %d)
STAT_MINUS_STR	Adaptation de la force (chance restante : %d)
STAT_TOOLTIP_CON	Augmente PV et défense
STAT_TOOLTIP_DEX	Attaque et esquive augmentées
STAT_TOOLTIP_INT	Augmente PM, attaque & défense magique.
STAT_TOOLTIP_STR	Attaque et dégâts améliorés.
SYMBOLLIST_TITLE	Enregistrer le drapeau de Guilde
SYSTEM_OPTION_CPU_TILING_1	CPU Tiling Mode peut améliorer la vitesse sur une configuration modeste.
SYSTEM_OPTION_CPU_TILING_2	Si vous rencontrez des problèmes avec les éléments graphiques choisissez ,Systemoption ou ,CONFIG.exe
SYSTEM_OPTION_CPU_TILING_3	et changez le CPU Tiling Mode.
SYSTEM_OPTION_GPU_TILING_1	GPU Tiling Mode peut ralentir une configuration modeste.
SYSTEM_OPTION_GPU_TILING_2	Si vous rencontrez des problèmes avec les éléments graphiques allez dans les "Options système" ou lancez "CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	et change le CPU Tiling Mode
SYSTEM_OPTION_TILING_EXIT	Il faut redémarrer le programme pour pouvoir changer le Tiling Mode.
TARGET_BUTTON_ACCEPT_FIGHT	Accepter
TARGET_BUTTON_AVENGE	Revanche
TARGET_BUTTON_BUILDING_DESTROY	Détruire
TARGET_BUTTON_DISMOUNT	déclasser
TARGET_BUTTON_EMOTION_ALLOW	Emotions
TARGET_BUTTON_EXCHANGE	Echanger
TARGET_BUTTON_EXCLUDE	Exclure
TARGET_BUTTON_EXIT_OBSERVER	Fin du Mode observateur
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Ami
TARGET_BUTTON_INVITE_GUILD	Invitation Guilde
TARGET_BUTTON_INVITE_PARTY	Invitation gr.
TARGET_BUTTON_LEAVE_PARTY	Quitter Groupe
TARGET_BUTTON_REQUEST_ENTER_PARTY	Rejoindre Groupe
TARGET_BUTTON_VIEW_EQUIPMENT	Armure
TARGET_BUTTON_WHISPER	PM
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Niveau 5.
TARGET_LEVEL_KNIGHT	Niveau 3.
TARGET_LEVEL_PAWN	Niveau 1.
TARGET_LEVEL_S_KNIGHT	Niveau 4.
TARGET_LEVEL_S_PAWN	Niveau 2.
TASKBAR_ATTACK	Attaque
TASKBAR_AUTO	Attaquer automatiquement
TASKBAR_CAMERA	Caméra
TASKBAR_EXP	Expérience
TASKBAR_HP	PV
TASKBAR_MOVE	Déplacement
TASKBAR_SKILL	Compétence
TASKBAR_SP	PM
TASKBAR_ST	PE
THING_COUNT	Tous
TOOLTIP_ANTI_CRITICAL_PCT	Résistance contre les coups critiques +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Résistance contre les coups perçants +%d%%	SA
TOOLTIP_ANTI_SELL	Ne peut pas être vendu dans un magasin.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Bonus contre les Animaux +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Bonus contre les Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Bonus contre le Mal+%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Bonus contre les demi-humains +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Bonus contre les Mystiques +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Force contre les Monstres +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Bonus contre les Orcs +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Bonus contre les Chamanes +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Bonus contre les Suras +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Bonus contre les Mort-vivants +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Bonus contre les Guerriers +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance de bloquer un coup au Corps-à-corps %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recupérer les PM toutes les 5 secondes dans une Bataille %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance de coup critique +%d%% 	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% de chance de récupérer des PM lorsque vous touchez	SA
TOOLTIP_APPLY_DODGE	Chance d'éviter les flèches %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance d'obtenir un Bonus EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance d'abandonner le double de Yangs	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immunise contre les chutes	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Défense contre le ralentissement	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Défense contre l'étourdissement	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance d'abandonner le double d'objets	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% de chance de restaurer les PV	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%%  de chance de restaurer les PM	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% de chance de drain de PM	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. PV +%d%% 	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Pas d'effet
TOOLTIP_APPLY_NO_DEATH_PENALTY	Pas de perte d'expérience en cas de résurrection à l'endroit de la mort.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% chances de coup perçant	SA
TOOLTIP_APPLY_POISON_PCT	Chance d'empoisonner : %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Résistance contre le poison %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Les effets de la potion %d%% augmentent	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance de renvoyer une Malédiction : %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Chance de renvoyer une attaque au Corps-à-corps : %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Chance de parer une attaque Ninja: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Défense contre le Gong %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Défense contre la dague %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Défense contre l'éventail %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Chance de parer une attaque Chamane: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Chance de parer une attaque Sura: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Défense contre l'épée %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Défense contre l'épée à deux-mains %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Chance de parer une attaque Guerrier: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Résistance au Vent %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance d'apprendre d'un Manuel améliorée d'un facteur de 2,5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Si l'apprentissage échoue, vous pourrez immédiatement et gratuitement retenter votre chance.	SNA
TOOLTIP_APPLY_SLOW_PCT	Chance de ralentissement : %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% des dommages infligés sont drainés et ajoutés aux PV.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% des dommages infligés sont drainés et ajoutés aux PM.	SA
TOOLTIP_APPLY_STUN_PCT	Chance d'assommer : %d%%	SA
TOOLTIP_ARMOR	Armure
TOOLTIP_ARROW	Flèches
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valeur d'attaque +%d	SA
TOOLTIP_ATT_SPEED	Vitesse d'attaque +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Élixir du soleil
TOOLTIP_AUTO_POTION_REST	Quantité restante : %.2f%%
TOOLTIP_AUTO_POTION_SP	Élixir de la lune
TOOLTIP_AUTO_POTION_USING	Actif
TOOLTIP_BOW_DISTANCE	Portée de l'Arc +%dm	SA
TOOLTIP_BUYPRICE	Prix : %s
TOOLTIP_CAST_SPEED	Vitesse du sort +%d%%	SA
TOOLTIP_CON	Vitalité +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costume %d%% 	SA
TOOLTIP_DEF_GRADE	Défense +%d	SA
TOOLTIP_DEX	Dextérité +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Terre	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Ciel	SNA
TOOLTIP_EAR	Boucles d'oreille
TOOLTIP_ENERGY	Énergie %d	SA
TOOLTIP_ETC	Etc..
TOOLTIP_FISHINGROD_EXP	Points %d / %d
TOOLTIP_FISHINGROD_LEVEL	Niveau : %d
TOOLTIP_FISHINGROD_UPGRADE1	Donnez-la au pêcheur
TOOLTIP_FISHINGROD_UPGRADE2	pour obtenir une
TOOLTIP_FISHINGROD_UPGRADE3	canne à pêche améliorée
TOOLTIP_FISH_LEN	Longueur : %,2fcm
TOOLTIP_HELMET	Casque
TOOLTIP_HP_REGEN	Régénération des PV +%d%%	SA
TOOLTIP_INT	Intelligence +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valeur d'attaque %d
TOOLTIP_ITEM_ATT_POWER	Valeur d'attaque %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valeur d'attaque %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valeur d'attaque %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Vitesse d'attaque %s
TOOLTIP_ITEM_DEF_GRADE	Défense %d
TOOLTIP_ITEM_FAST	Rapide
TOOLTIP_ITEM_LIMIT_CON	Limite sup. de vitalité : %d
TOOLTIP_ITEM_LIMIT_DEX	Limite sup. de dextérité : %d
TOOLTIP_ITEM_LIMIT_INT	Limite sup. de l'intelligence : %d
TOOLTIP_ITEM_LIMIT_LEVEL	Du niveau : %d
TOOLTIP_ITEM_LIMIT_STR	Limite sup. de la force : %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valeur de l'attaque magique %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valeur de l'attaque magique %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Défense magique %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Ralenti
TOOLTIP_ITEM_VERY_FAST	Très rapide
TOOLTIP_ITEM_VERY_SLOW	Très ralenti
TOOLTIP_ITEM_WEARABLE_JOB	[ Portable ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numéro de loterie : %d
TOOLTIP_MAGIC_ATTBONUS_PER	Attaques magiques +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Valeur d'attaque magique +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Défense magique +%d	SA
TOOLTIP_MALL_ATTBONUS	Valeur d'attaque +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valeur d'attaque +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Une main qui ramasse les Yangs automatiquement. 	SNA
TOOLTIP_MALL_DEFBONUS	Défense +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Défense +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	Bonus CyberCafé EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% plus d'expérience 	SNA
TOOLTIP_MALL_FISH_MIND	La chance d'attraper un poisson est augmenter. 	SNA
TOOLTIP_MALL_GOLDBONUS	Chance de Drop de Yangs (%.1f) 	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Double chance de Drop de Yangs 	SNA
TOOLTIP_MALL_ITEMBONUS	Chance de Drop d'objet (%.1f) 	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance de trouver des Yangs plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Double chance de Drop pour les objets 	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Points d'amours augmente plus rapidement 	SNA
TOOLTIP_MALL_SAFEBOX	Plus d'espace dans l'entrepôt disponible	SNA
TOOLTIP_MAX_HP	PV max. +%d	SA
TOOLTIP_MAX_HP_PCT	PV max. +%d%%	SA
TOOLTIP_MAX_SP	PM max. +%d	SA
TOOLTIP_MAX_SP_PCT	PM max. +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Endurance +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Attaque au corps à corps/magique +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS Erreur (%d, %d)
TOOLTIP_MOV_SPEED	Vit. de déplt %d%%	SA
TOOLTIP_NECK	Collier
TOOLTIP_NEED_ALL_SP	PM requis : Max.
TOOLTIP_NEED_GSP	Esprit du Dragon requis : %d
TOOLTIP_NEED_HP	PV requis : %d
TOOLTIP_NEED_HP_PER_SEC	PV/sec. : %d
TOOLTIP_NEED_SKILL_POINT	Points de compétences requis :
TOOLTIP_NEED_SP	PM requis : %d
TOOLTIP_NEED_SP_PER_SEC	PM/sec. : %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Prochain niveau : %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Prochain niveau : %d (Max. %d-%d)
TOOLTIP_NEXT_SKILL_LEVEL_3	Prochain niveau : %d
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Dégats moyen :  %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Résistance aux Dégâts Moyens : %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	D'avantage de %d que de membres du Groupe
TOOLTIP_PARTY_INFO_GRADE_UP2	Niveau de l'attaque +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Niveau de défense +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restaure les PV/PM de tous les membres du groupe toutes les 60 minutes.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restaure les PV/PM de tous les membres du groupe toutes les 30 minutes.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Vous devez attendre 3 minutes après la mort d'un membre du Groupe.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Vous pouvez appeler les membres du Groupe qui sont sur le même serveur à tout moment.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Niveau de l'attaque +(nombre de membres du Groupe /2) Attaquant %d peut être choisi.
TOOLTIP_PARTY_INFO_SET_TANKER	Niveau de défense +(nombre du membres du groupe) combattants au corps-à-corps 1 peuvent être choisis.
TOOLTIP_PARTY_SKILL_LEVEL	Niveau actuel : %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attaque/Défense améliorée]
TOOLTIP_PARTY_TITLE_HEAL	[restaurer]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Lorsque vous avez plus de %d membres de Groupe vous obtenez %d%% de Bonus EXP .
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Appeler]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Nommer un attaquant]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Nommer un combattant au corps-à-corps]
TOOLTIP_PICK_EXP	Points : %d / %d
TOOLTIP_PICK_LEVEL	Niveau : %d
TOOLTIP_PICK_UPGRADE1	Donnez-la au bûcheron
TOOLTIP_PICK_UPGRADE2	pour obtenir une
TOOLTIP_PICK_UPGRADE3	Pioche améliorée.
TOOLTIP_POTION_CURE	Annuler les effets négatifs
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Vitesse d'attaque +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	PV +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	PV +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Vitesse de déplacement +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	PM +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	PM +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durée :
TOOLTIP_REQUIREMENT_21_LEVEL	Vous devez atteindre le niveau 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Vous devez atteindre le niveau 41.
TOOLTIP_REQUIREMENT_LEVEL	Vous devez atteindre le niveau %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s niveau %d requis.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d requis
TOOLTIP_RESIST_BOW	Résistance aux flèches %d%%	SA
TOOLTIP_RESIST_DARK	Résistance à l'obscurité +%d%%	SA
TOOLTIP_RESIST_EARTH	Résistance à la terre +%d%%	SA
TOOLTIP_RESIST_ELEC	Résistance à la foudre %d%%	SA
TOOLTIP_RESIST_FIRE	Résistance au feu %d%%	SA
TOOLTIP_RESIST_ICE	Résistance à la glace +%d%%	SA
TOOLTIP_RESIST_MAGIC	Résistance à la Magie %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Restant : %d
TOOLTIP_SELLPRICE	Prix : %s
TOOLTIP_SHAMAN	Chamane
TOOLTIP_SHIELD	Bouclier
TOOLTIP_SHOES	Chaussures
TOOLTIP_SKILL	Compétences	SNA
TOOLTIP_SKILLBOOK_NAME	Manuel de compétences
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valeur d'attaque: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valeur d'attaque :
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Vitesse d'attaque : +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Défense :
TOOLTIP_SKILL_AFFECT_DODGE	Valeur d'attaque de l'adversaire  : -
TOOLTIP_SKILL_AFFECT_HEAL	Restaurer les PV :
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Vitesse d'attaque : +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance de renvoyer une attaque au Corps-à-corps :
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Résistance contre les dommages corporels :
TOOLTIP_SKILL_COOL_TIME	Temps d'attente : 
TOOLTIP_SKILL_DAMAGE_BONUS	Dégats de compétence %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Résistance contre les dégats de compétences %d%%	SA
TOOLTIP_SKILL_DURATION	Durée : %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	L'anneau de l'Oubli
TOOLTIP_SKILL_LEVEL	Niveau actuel : %d
TOOLTIP_SKILL_LEVEL_MASTER	Niveau actuel : %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Niveau actuel : %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Vide
TOOLTIP_SOCKET_REFINABLE_ITEM	[Objet à emplacement]
TOOLTIP_SP_REGEN	Régénération des PM +%d%%	SA
TOOLTIP_STR	Force +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Recharge temporelle %d s.	SA
TOOLTIP_TIME_CHARGER_PER	Recharge temporelle %d%%	SA
TOOLTIP_UNIQUE	Unique
TOOLTIP_WARRIOR	Guerrier
TOOLTIP_WEAPON	Arme
TOOLTIP_WRISTLET	Bracelet
UI_ACCEPT	Accepter
UI_CANCEL	Annuler
UI_CLOSE	Fermer
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Refuser
UI_ITEM	Objet
UI_LEFT_TIME	Temps restant : %d Sec.
UI_NEXT	Continuer
UI_NEXTPAGE	Continuer
UI_NOCONTENTS	Pas de contenu
UI_NONAME	Pas de nom
UI_OK	OK
UI_POS_UNKNOWN	Endroit inconnu
UI_PREVPAGE	Retour
UI_UNKNOWN	Inconu
UPLOAD_MARK_CHECK_NEED_RECONNECT	Le téléchargement doit être recommencer.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Le téléchargement doit être recommencer.
USE_ITEM_FAILURE_PRIVATE_SHOP	Vous ne pouvez pas utiliser d'objet tant que votre magasin privé est ouvert.
USE_SKILL_ERROR_UNKNOWN	Erreur compétence inconnue: %s
LOGIN_FAILURE_WRONG_SOCIALID	Mauvais code de sécurité.
LOGIN_FAILURE_SHUTDOWN_TIME	Allez au lit...
